,"Etat","Absence","CESP","Etudiant","Voeu","Rang","Subdivision","Discipline","Désir (non officiel)","Offre","SubDis"
10,"affecté","","","1","1","1/6","AIX MARSEILLE","Spécialité chirurgicale : Ophtalmologie","","6","[034030]"
11,"affecté","absence","","2","1","1/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
12,"affecté","","","3","1","1/7","LYON","Spécialité médicale : Gastro-entérologie et hépatologie","","7","[026016]"
13,"affecté","absence","","4","1","1/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
14,"affecté","","","5","1","1/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
15,"affecté","absence","","6","1","1/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
16,"affecté","","","7","1","1/5","LYON","Spécialité médicale : Néphrologie","","5","[026022]"
17,"affecté","","","8","1","1/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
18,"affecté","","","9","1","1/13","LYON","Spécialité médicale : Radiodiagnostic et imagerie médicale","","13","[026026]"
19,"affecté","","","10","1","1/4","TOULOUSE","Spécialité médicale : Médecine interne","","4","[040019]"
20,"affecté","absence","","11","1","2/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
21,"affecté","","","12","1","1/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
22,"affecté","absence","","13","1","1/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
23,"affecté","absence","","14","1","1/9","ILE DE FRANCE","Spécialité médicale : Hématologie","","9","[015018]"
24,"affecté","","","15","1","2/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
25,"affecté","","","16","1","1/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
26,"affecté","","","17","1","1/9","TOULOUSE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","9","[040026]"
27,"affecté","","","18","1","1/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
28,"affecté","","","19","1","2/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
29,"affecté","","","20","1","1/6","LILLE","Spécialité médicale : Médecine interne","","6","[023019]"
30,"affecté","","","21","1","1/21","ILE DE FRANCE","Spécialité médicale : Gastro-entérologie et hépatologie","","21","[015016]"
31,"affecté","","","22","1","1/15","ILE DE FRANCE","Spécialité médicale : Rhumatologie","","15","[015027]"
32,"affecté","absence","","23","1","1/4","BORDEAUX","Spécialité médicale : Néphrologie","","4","[037022]"
33,"affecté","","","24","1","1/5","NANCY","Spécialité médicale : Oncologie","","5","[018024]"
34,"affecté","","","25","1","1/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
35,"affecté","","","26","1","1/4","BORDEAUX","Spécialité médicale : Neurologie","","4","[037023]"
36,"affecté","","","27","1","2/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
37,"affecté","","","28","1","1/17","BORDEAUX","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","17","[037028]"
38,"affecté","","","29","1","3/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
39,"affecté","absence","","30","1","1/6","TOULOUSE","Spécialité chirurgicale : Ophtalmologie","","6","[040030]"
40,"affecté","","","31","1","3/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
42,"affecté","absence","","33","1","2/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
43,"affecté","absence","","34","1","2/5","LYON","Spécialité médicale : Néphrologie","","5","[026022]"
44,"affecté","","","35","1","2/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
45,"affecté","","","36","1","3/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
46,"affecté","","","37","1","1/4","TOURS","Spécialité médicale : Gastro-entérologie et hépatologie","","4","[033016]"
47,"affecté","absence","","38","1","1/16","BORDEAUX","Discipline : ANESTHÉSIE réanimation","","16","[037004]"
48,"affecté","","","39","1","1/4","BORDEAUX","Spécialité médicale : Anatomie et cytologie pathologique","","4","[037012]"
49,"affecté","","","40","1","1/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
50,"affecté","absence","","41","1","4/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
52,"affecté","","","43","1","1/5","GRENOBLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","5","[025026]"
53,"affecté","","","44","1","1/6","MONTPELLIER","Spécialité médicale : Médecine interne","","6","[035019]"
54,"affecté","","","45","1","1/8","LYON","Spécialité médicale : Médecine interne","","8","[026019]"
55,"affecté","","","46","1","4/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
56,"affecté","","","47","1","1/7","LILLE","Spécialité médicale : Neurologie","","7","[023023]"
57,"affecté","","","48","1","1/2","CLERMONT-FERRAND","Spécialité médicale : Néphrologie","","2","[038022]"
58,"affecté","","","49","1","1/22","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","22","[034028]"
59,"affecté","","","50","1","1/3","STRASBOURG","Spécialité médicale : Neurologie","","3","[020023]"
60,"affecté","","","51","1","1/10","BORDEAUX","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[037026]"
61,"affecté","absence","","52","1","1/12","GRENOBLE","Discipline : ANESTHÉSIE réanimation","","12","[025004]"
63,"affecté","","","54","1","2/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
64,"affecté","absence","","55","1","5/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
65,"affecté","","","56","1","1/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","63","[015028]"
66,"affecté","","","57","1","1/17","ILE DE FRANCE","Spécialité médicale : Pneumologie","","17","[015025]"
67,"affecté","","","58","1","1/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
68,"affecté","","","59","1","1/5","LILLE","Spécialité médicale : Néphrologie","","5","[023022]"
69,"affecté","","","60","1","1/3","STRASBOURG","Spécialité médicale : Néphrologie","","3","[020022]"
70,"affecté","","","61","1","1/3","MONTPELLIER","Spécialité chirurgicale : Ophtalmologie","","3","[035030]"
71,"affecté","","","62","1","1/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
72,"affecté","","","63","1","1/9","BORDEAUX","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[037013]"
73,"affecté","","CESP","64","1","1/6","LILLE","Discipline : MÉDECINE générale","","6",""
74,"affecté","","","65","1","2/12","GRENOBLE","Discipline : ANESTHÉSIE réanimation","","12","[025004]"
75,"affecté","","","66","1","2/16","BORDEAUX","Discipline : ANESTHÉSIE réanimation","","16","[037004]"
76,"affecté","","","67","1","1/7","RENNES","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[032013]"
77,"affecté","","","68","1","1/5","STRASBOURG","Spécialité chirurgicale : Ophtalmologie","","5","[020030]"
78,"affecté","","","69","1","1/1","NANTES","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","1","[030031]"
79,"affecté","","","70","1","1/4","LYON","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","4","[026031]"
80,"affecté","","","71","1","2/9","BORDEAUX","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[037013]"
81,"affecté","","","72","1","3/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
82,"affecté","","","73","1","2/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
83,"affecté","","","74","1","6/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
84,"affecté","","","75","1","3/16","BORDEAUX","Discipline : ANESTHÉSIE réanimation","","16","[037004]"
85,"affecté","","","76","1","4/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
86,"affecté","","","77","1","1/6","NANTES","Spécialité médicale : Radiodiagnostic et imagerie médicale","","6","[030026]"
87,"affecté","","","78","1","1/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
88,"affecté","","","79","1","4/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
89,"affecté","","","80","1","3/12","GRENOBLE","Discipline : ANESTHÉSIE réanimation","","12","[025004]"
90,"affecté","","","81","1","1/4","TOULOUSE","Spécialité médicale : Néphrologie","","4","[040022]"
91,"affecté","","","82","1","1/7","MONTPELLIER","Spécialité médicale : Radiodiagnostic et imagerie médicale","","7","[035026]"
92,"affecté","","","83","1","1/6","CLERMONT-FERRAND","Spécialité médicale : Cardiologie et maladies vasculaires","","6","[038013]"
93,"affecté","","","84","1","5/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
94,"affecté","","","85","1","1/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
96,"affecté","","","87","1","3/9","BORDEAUX","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[037013]"
97,"affecté","","","88","1","1/4","ILE DE FRANCE","Spécialité chirurgicale : Neurochirurgie","","4","[015029]"
98,"affecté","","","89","1","1/10","AIX MARSEILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[034026]"
99,"affecté","","","90","1","6/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
100,"affecté","","","91","1","1/4","LYON","Spécialité médicale : Dermatologie et vénérologie","","4","[026014]"
101,"affecté","","","92","1","2/8","LYON","Spécialité médicale : Médecine interne","","8","[026019]"
102,"affecté","","","93","1","2/13","LYON","Spécialité médicale : Radiodiagnostic et imagerie médicale","","13","[026026]"
103,"affecté","","","94","1","4/16","BORDEAUX","Discipline : ANESTHÉSIE réanimation","","16","[037004]"
104,"affecté","","","95","1","1/31","LILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","31","[023028]"
105,"affecté","","","96","1","5/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
106,"affecté","","","97","1","3/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
107,"affecté","","","98","1","2/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
108,"affecté","","","99","1","1/2","LYON","Spécialité médicale : Anatomie et cytologie pathologique","","2","[026012]"
109,"affecté","absence","","100","1","6/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
110,"affecté","absence","","101","1","5/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
111,"affecté","","","102","1","3/17","LILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","17","[023026]"
112,"affecté","","","103","1","1/12","GRENOBLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","12","[025028]"
113,"affecté","","","104","1","1/15","TOULOUSE","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","15","[040028]"
114,"affecté","","","105","1","7/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
115,"affecté","","","106","1","2/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
116,"affecté","absence","","107","1","1/25","ILE DE FRANCE","Spécialité médicale : Oncologie","","25","[015024]"
117,"affecté","absence","","108","1","2/9","ILE DE FRANCE","Spécialité médicale : Hématologie","","9","[015018]"
118,"affecté","","","109","1","7/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
119,"affecté","","","110","1","1/10","LYON","Spécialité médicale : Cardiologie et maladies vasculaires","","10","[026013]"
120,"affecté","","","111","1","7/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
121,"affecté","absence","","112","1","2/10","LYON","Spécialité médicale : Cardiologie et maladies vasculaires","","10","[026013]"
122,"affecté","","","113","1","1/4","AIX MARSEILLE","Spécialité médicale : Néphrologie","","4","[034022]"
123,"affecté","","","114","1","1/4","BORDEAUX","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","4","[037015]"
124,"affecté","","","115","1","1/3","TOULOUSE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","3","[040031]"
125,"affecté","absence","","116","1","2/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
126,"affecté","absence","","117","1","1/4","NANTES","Spécialité médicale : Gastro-entérologie et hépatologie","","4","[030016]"
127,"affecté","","","118","1","2/7","MONTPELLIER","Spécialité médicale : Radiodiagnostic et imagerie médicale","","7","[035026]"
128,"affecté","","","119","1","1/22","AIX MARSEILLE","Discipline : ANESTHÉSIE réanimation","","22","[034004]"
129,"affecté","","","120","1","1/17","ILE DE FRANCE","Spécialité médicale : Dermatologie et vénérologie","","17","[015014]"
130,"affecté","","","121","1","1/4","LILLE","Spécialité médicale : Dermatologie et vénérologie","","4","[023014]"
131,"affecté","absence","","122","1","1/6","BORDEAUX","Discipline : SANTÉ PUBLIQUE","","6","[037007]"
132,"affecté","","","123","1","8/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
133,"affecté","","","124","1","1/14","STRASBOURG","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","14","[020028]"
134,"affecté","","","125","1","1/2","CLERMONT-FERRAND","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","2","[038015]"
135,"affecté","","","126","1","1/86","CLERMONT-FERRAND","Discipline : MÉDECINE générale","","86","[038011]"
136,"affecté","","","127","1","2/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","63","[015028]"
137,"affecté","","","128","1","3/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
138,"affecté","","","129","1","4/12","GRENOBLE","Discipline : ANESTHÉSIE réanimation","","12","[025004]"
139,"affecté","","","130","1","1/24","TOULOUSE","Discipline : PSYCHIATRIE","","24","[040010]"
140,"affecté","","","131","1","1/3","NANTES","Spécialité médicale : Neurologie","","3","[030023]"
142,"affecté","","","133","1","1/9","LYON","Spécialité chirurgicale : Ophtalmologie","","9","[026030]"
143,"affecté","","","134","1","1/14","LILLE","Discipline : GYNÉCOLOGIE obstétrique","","14","[023009]"
144,"affecté","","","135","1","1/13","ROUEN","Discipline : ANESTHÉSIE réanimation","","13","[024004]"
145,"affecté","","","136","1","3/13","LYON","Spécialité médicale : Radiodiagnostic et imagerie médicale","","13","[026026]"
146,"affecté","absence","","137","1","1/6","BORDEAUX","Spécialité chirurgicale : Ophtalmologie","","6","[037030]"
147,"affecté","","","138","1","3/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","63","[015028]"
148,"affecté","","","139","1","6/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
149,"affecté","","","140","1","9/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
150,"affecté","","","141","1","3/9","ILE DE FRANCE","Spécialité médicale : Hématologie","","9","[015018]"
151,"affecté","absence","","142","1","1/4","OCEAN INDIEN","Discipline : ANESTHÉSIE réanimation","","4","[042004]"
152,"affecté","","","143","1","1/4","BORDEAUX","Spécialité médicale : Rhumatologie","","4","[037027]"
153,"affecté","","","144","1","2/4","BORDEAUX","Spécialité médicale : Néphrologie","","4","[037022]"
154,"affecté","absence","","145","1","1/4","NANTES","Spécialité médicale : Pneumologie","","4","[030025]"
155,"affecté","","","146","1","1/3","LILLE","Spécialité médicale : Hématologie","","3","[023018]"
156,"affecté","absence","","147","1","10/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
157,"affecté","","","148","1","2/11","LILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","11","[023013]"
158,"affecté","","","149","1","1/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
159,"affecté","","","150","1","1/9","TOULOUSE","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[040013]"
160,"affecté","","","151","1","8/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
161,"affecté","","","152","1","5/12","GRENOBLE","Discipline : ANESTHÉSIE réanimation","","12","[025004]"
162,"affecté","absence","","153","1","1/18","ILE DE FRANCE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","18","[015031]"
163,"affecté","","","154","1","11/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
164,"affecté","","","155","1","2/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
165,"affecté","","","156","1","2/7","LILLE","Spécialité médicale : Neurologie","","7","[023023]"
167,"affecté","","","158","1","3/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
168,"affecté","","","159","1","7/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
169,"affecté","","","160","1","12/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
170,"affecté","absence","","161","1","13/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
171,"affecté","","","162","1","8/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
172,"affecté","","","163","1","2/4","BORDEAUX","Spécialité médicale : Rhumatologie","","4","[037027]"
173,"affecté","","","164","1","1/6","LYON","Spécialité médicale : Pneumologie","","6","[026025]"
174,"affecté","","","165","1","2/21","ILE DE FRANCE","Spécialité médicale : Gastro-entérologie et hépatologie","","21","[015016]"
175,"affecté","","","166","1","3/16","MONTPELLIER","Discipline : ANESTHÉSIE réanimation","","16","[035004]"
176,"affecté","","","167","1","1/6","ILE DE FRANCE","Spécialité médicale : Médecine nucléaire","","6","[015020]"
177,"affecté","","","168","1","2/5","STRASBOURG","Spécialité chirurgicale : Ophtalmologie","","5","[020030]"
178,"affecté","","","169","1","2/22","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie thoracique et cardio-vasculaire","22","[034028]"
179,"affecté","absence","","170","1","9/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
180,"affecté","","","171","1","1/5","MONTPELLIER","Spécialité médicale : Dermatologie et vénérologie","","5","[035014]"
181,"ESSA","","","172","","","","pas de procédure CELINE car Etudiant du Service de Santé des Armées","","",""
182,"affecté","","","173","1","2/25","ILE DE FRANCE","Spécialité médicale : Oncologie","","25","[015024]"
183,"affecté","absence","","174","1","2/17","BORDEAUX","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","17","[037028]"
184,"affecté","","","175","1","1/3","MONTPELLIER","Spécialité médicale : Oncologie","","3","[035024]"
185,"affecté","","","176","1","9/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
186,"affecté","","","177","1","1/5","BORDEAUX","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[037016]"
187,"affecté","","","178","1","1/6","NANTES","Spécialité médicale : Cardiologie et maladies vasculaires","","6","[030013]"
188,"ESSA","","","179","","","","pas de procédure CELINE car Etudiant du Service de Santé des Armées","","",""
189,"affecté","","","180","1","1/10","AIX MARSEILLE","Discipline : GYNÉCOLOGIE obstétrique","","10","[034009]"
190,"affecté","","","181","1","1/22","TOULOUSE","Discipline : ANESTHÉSIE réanimation","","22","[040004]"
191,"affecté","","","182","1","1/5","BORDEAUX","Spécialité médicale : Dermatologie et vénérologie","","5","[037014]"
192,"affecté","absence","","183","1","1/6","AIX MARSEILLE","Spécialité médicale : Médecine interne","","6","[034019]"
193,"affecté","","","184","1","3/8","LYON","Spécialité médicale : Médecine interne","","8","[026019]"
