"","MG","AR","Bio","GyM","GyO","MT","Ped","Psy","SP","An","Card","De","Endoc","Gastro","GM","Hemato","MI","MN","MPR","Nep","Neu","Onc","Pneu","Rad","Rhu","ChG","ChO","ChN","Opht","ORL","Tot"
"ILE DE France",583,87,15,6,39,25,64,101,16,12,37,16,11,21,2,7,19,5,13,9,15,25,16,36,14,63,3,3,20,18,1301
"STRASBOURG",131,12,3,NA,9,4,9,12,2,2,5,3,2,3,1,2,3,2,3,3,3,5,2,7,2,16,1,1,4,3,255
"NANCY",141,13,2,2,8,7,12,16,4,3,6,4,2,3,1,2,4,2,2,3,4,5,5,9,3,14,NA,1,5,2,285
"BESANCON",55,10,2,NA,5,3,7,14,2,1,4,3,2,4,NA,1,2,NA,3,2,3,3,3,6,1,10,1,NA,3,2,152
"DIJON",85,11,3,NA,5,8,7,15,2,2,5,2,2,3,1,1,3,1,3,1,3,3,3,6,1,10,1,1,5,2,195
"REIMS",104,10,3,2,5,6,9,15,3,2,4,2,2,2,1,1,2,NA,2,3,3,2,2,6,3,11,NA,NA,4,NA,209
"CAEN",90,11,3,1,6,6,11,14,4,2,6,2,1,2,1,1,3,1,3,4,4,5,3,7,2,10,1,1,3,2,210
"ROUEN",100,13,4,1,6,10,10,17,5,2,5,3,3,5,1,1,5,1,4,2,6,3,6,8,4,13,NA,1,3,3,245
"LILLE",232,24,4,3,14,12,22,37,4,3,10,4,7,6,1,3,5,3,5,5,6,9,7,13,4,32,2,1,10,5,493
"AMIENS",112,10,3,2,5,3,8,14,4,1,5,2,2,3,1,2,3,1,1,2,4,4,3,6,2,20,NA,NA,3,2,228
"CLERMONT-FERRAND",80,11,4,NA,6,4,8,15,3,3,6,2,2,3,1,1,4,1,2,2,3,5,3,7,2,10,NA,1,5,3,197
"GRENOBLE",95,12,3,NA,5,5,8,10,3,1,4,2,2,3,1,2,3,1,3,2,2,3,3,3,2,12,NA,1,4,2,197
"LYON",172,23,4,1,12,6,15,23,5,3,8,4,4,7,NA,3,8,1,4,4,5,4,6,11,4,22,1,2,9,4,375
"SAINT ETIENNE",82,7,3,NA,4,2,5,8,1,1,2,1,1,2,NA,2,2,1,2,1,2,2,2,4,2,8,NA,NA,5,2,154
"BREST",85,7,2,1,3,4,4,11,4,2,3,2,2,3,1,2,2,1,2,2,2,4,2,3,2,9,NA,NA,3,2,170
"RENNES",105,10,4,NA,6,6,7,11,2,3,6,3,2,4,NA,4,3,1,2,2,3,5,3,6,3,11,NA,1,3,3,219
"ANGERS",110,8,5,NA,5,7,7,10,2,2,4,2,2,3,NA,1,2,1,3,1,3,3,3,4,2,12,NA,1,2,1,206
"NANTES",110,11,4,1,5,5,7,13,2,1,5,2,2,3,1,1,3,1,3,1,2,2,2,6,2,15,NA,NA,2,2,214
"TOURS",90,10,3,NA,5,NA,8,12,2,2,6,3,1,4,1,1,6,2,1,3,3,4,3,9,2,13,NA,1,2,3,200
"POITIERS",120,9,2,NA,5,9,8,20,3,1,6,5,2,4,1,1,5,2,1,2,3,5,3,5,3,10,NA,NA,3,2,240
"MONTPELLIER",150,16,3,1,5,1,12,14,1,2,7,5,5,5,1,3,6,2,6,4,5,3,3,6,5,19,NA,2,4,4,300
"AIX MARSEILLE",187,22,3,1,10,6,15,25,4,3,7,4,3,5,1,2,5,2,3,4,4,6,4,8,3,22,1,1,6,5,372
"NICE",76,8,1,1,4,2,6,10,1,1,3,1,1,2,1,1,2,1,1,2,2,2,2,3,2,11,NA,1,2,2,152
"BORDEAUX",184,20,10,4,9,4,10,22,6,3,10,4,4,5,1,1,5,2,6,4,4,6,3,8,4,16,NA,NA,5,3,363
"OCEAN INDIEN",47,4,1,NA,3,NA,5,4,2,NA,1,NA,1,2,NA,NA,1,NA,1,1,2,1,1,2,NA,3,NA,NA,NA,NA,82
"TOULOUSE",150,18,4,3,8,6,9,23,2,3,8,3,3,4,1,NA,3,1,3,3,4,3,5,11,4,13,1,1,4,3,304
"LIMOGES",61,7,2,NA,3,2,4,8,1,1,3,2,1,2,NA,1,2,1,1,1,1,3,1,3,2,6,NA,1,1,2,123
"ANTILLES-GUYANE",64,7,1,NA,6,NA,5,6,1,1,3,2,1,1,NA,NA,1,NA,1,1,1,1,1,4,1,9,NA,NA,3,2,123
"Tot",3601,411,101,30,206,153,302,500,91,63,179,88,73,114,21,47,112,37,84,74,102,126,100,207,81,420,12,22,123,84,7564
