;MG;AR;Bio;GyM;GyO;MT;Ped;Psy;SP;An;Card;De;Endoc;Gastro;GM;Hemato;MI;MN;MPR;Nep;Neu;Onc;Pneu;Rad;Rhu;ChG;ChO;ChN;Opht;ORL;Tot
ILE DE France;653;91;16;10;40;27;66;99;16;12;37;17;11;21;2;7;19;6;13;9;15;25;16;36;14;60;3;3;20;18;1382
STRASBOURG;136;13;3;1;9;5;9;13;2;2;5;4;1;3;1;1;4;1;3;3;4;5;2;9;3;14;0;1;5;3;265
NANCY;146;13;2;2;9;7;12;18;4;3;6;4;2;3;0;2;4;3;2;3;4;6;5;9;3;15;1;0;5;2;295
BESANCON;60;10;2;1;5;3;6;14;2;2;4;3;2;4;2;1;2;1;3;2;3;3;3;6;2;12;0;1;3;2;164
DIJON;95;11;2;0;5;9;6;16;2;2;5;3;2;3;1;2;4;1;2;2;4;3;3;7;2;10;1;0;5;2;210
REIMS;105;10;3;1;5;6;8;16;2;2;5;3;2;2;1;1;3;1;2;2;2;3;2;6;2;12;0;1;4;2;214
CAEN;100;11;3;1;6;6;9;16;4;3;7;3;1;4;1;1;3;1;5;3;4;5;4;7;3;10;1;1;3;4;230
ROUEN;97;13;4;1;5;10;10;20;4;2;5;3;3;5;1;1;5;1;4;2;5;3;6;8;4;12;0;0;3;3;240
LILLE;227;26;4;4;14;14;22;40;4;4;8;3;7;6;1;3;5;3;5;5;6;8;8;14;4;31;0;1;9;5;491
AMIENS;108;10;2;2;3;3;8;13;4;2;5;3;2;3;1;2;3;0;1;3;4;3;3;6;2;17;0;0;3;2;218
CLERMONT-FERRAND;81;11;3;0;6;4;8;17;3;2;7;2;2;3;0;1;4;0;2;2;3;4;2;7;2;10;1;0;4;3;194
GRENOBLE;105;12;3;0;6;5;8;11;3;2;4;2;2;3;0;2;3;1;2;2;3;3;3;3;2;11;0;1;4;2;208
LYON;180;23;4;2;12;6;16;18;4;2;8;4;4;7;1;3;7;1;4;4;5;4;6;11;4;22;0;1;9;4;376
SAINT ETIENNE;84;8;3;0;4;2;6;9;1;1;2;1;1;2;0;2;2;1;3;1;2;2;2;4;3;8;0;1;5;2;162
BREST;85;7;2;1;4;7;4;13;4;1;3;3;1;3;1;3;2;2;2;2;3;5;2;4;2;8;0;1;3;2;180
RENNES;104;11;4;0;6;10;7;11;2;2;6;3;2;4;1;1;3;1;2;3;3;5;3;5;3;11;0;1;3;2;219
ANGERS;112;8;4;0;4;9;7;11;3;2;4;3;2;3;1;1;3;1;3;2;3;3;3;4;2;12;0;0;3;2;215
NANTES;110;10;3;2;5;5;7;13;2;2;5;3;2;3;1;2;4;1;2;1;2;2;2;6;2;13;1;1;4;4;220
TOURS;88;10;3;0;5;0;8;12;2;2;6;3;1;4;0;1;5;0;1;2;3;4;3;8;3;12;0;0;4;2;192
POITIERS;118;9;2;0;5;10;8;20;3;2;6;3;1;4;0;1;3;1;1;2;3;5;3;6;3;11;0;1;3;2;236
MONTPELLIER;161;16;3;2;6;1;12;14;1;2;7;5;5;4;1;3;6;2;6;4;5;3;3;6;4;19;0;1;4;4;310
AIX MARSEILLE;216;22;3;2;10;6;14;25;4;3;7;4;3;4;1;2;5;1;4;4;4;6;5;9;3;23;0;1;6;4;401
NICE;87;9;1;1;4;2;5;11;1;1;3;1;1;2;0;1;2;1;2;2;2;3;2;3;2;11;0;0;2;2;164
BORDEAUX;204;16;10;4;9;5;10;22;6;4;10;4;4;5;1;1;5;1;6;4;4;6;3;8;4;17;0;1;5;3;382
OCEAN INDIEN;50;4;1;0;5;0;5;5;2;1;2;0;2;1;0;1;2;1;2;2;1;0;2;3;0;4;0;0;0;0;96
TOULOUSE;159;18;4;3;8;6;9;23;3;3;7;3;3;4;0;1;3;0;4;3;3;2;4;11;4;15;1;0;4;2;310
LIMOGES;66;7;2;1;3;2;4;8;1;1;3;1;1;2;1;1;2;1;1;1;2;3;1;3;1;6;0;0;2;1;128
ANTILLES-GUYANE;62;7;1;0;5;0;4;6;1;1;3;2;1;1;0;0;1;0;2;1;2;1;1;3;1;7;0;0;3;2;118
Tot;3799;416;97;41;208;170;298;514;90;68;180;93;71;113;20;48;114;34;89;76;104;125;102;212;84;413;9;18;128;86;7820
