;Etat;Absence;CESP;Etudiant;Voeu;Rang;Subdivision;Discipline;Désir (non officiel);Offre;SubDis;;
10;simulé;;;1;1;1/6;AIX MARSEILLE;Spécialité chirurgicale : Ophtalmologie;;6;[034030];;
11;simulé;absence;;2;1;1/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
12;simulé;;;3;1;1/7;LYON;Spécialité médicale : Gastro-entérologie et hépatologie;;7;[026016];;
13;simulé;absence;;4;1;1/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
14;simulé;;;5;1;1/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
15;simulé;absence;;6;1;1/25;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
16;simulé;;;7;1;1/5;LYON;Spécialité médicale : Néphrologie;;5;[026022];;
17;simulé;;;8;1;1/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
18;simulé;;;9;1;1/13;LYON;Spécialité médicale : Radiodiagnostic et imagerie médicale;;13;[026026];;
19;simulé;;;10;1;1/4;TOULOUSE;Spécialité médicale : Médecine interne;;4;[040019];;
20;simulé;absence;;11;1;2/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
21;simulé;;;12;1;1/45;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
22;simulé;absence;;13;1;1/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
23;simulé;absence;;14;1;1/9;ILE DE FRANCE;Spécialité médicale : Hématologie;;9;[015018];;
24;simulé;;;15;1;2/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
25;simulé;;;16;1;1/16;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
26;simulé;;;17;1;1/9;TOULOUSE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;9;[040026];;
27;simulé;;;18;1;1/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
28;simulé;;;19;1;2/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
29;simulé;;;20;1;1/6;LILLE;Spécialité médicale : Médecine interne;;6;[023019];;
30;simulé;;;21;1;1/21;ILE DE FRANCE;Spécialité médicale : Gastro-entérologie et hépatologie;;21;[015016];;
31;simulé;;;22;1;1/15;ILE DE FRANCE;Spécialité médicale : Rhumatologie;;15;[015027];;
32;simulé;;;23;1;1/4;BORDEAUX;Spécialité médicale : Néphrologie;;4;[037022];;
33;simulé;;;24;1;1/5;NANCY;Spécialité médicale : Oncologie;;5;[018024];;
34;simulé;;;25;1;1/199;BORDEAUX;Discipline : MÉDECINE générale;;199;[037011];;
35;simulé;;;26;1;1/4;BORDEAUX;Spécialité médicale : Neurologie;;4;[037023];;
36;simulé;;;27;1;2/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
37;simulé;;;28;1;1/17;BORDEAUX;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;17;[037028];
38;simulé;;;29;1;3/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
39;simulé;absence;;30;1;1/6;TOULOUSE;Spécialité chirurgicale : Ophtalmologie;;6;[040030];;
40;simulé;;;31;1;3/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
42;simulé;absence;;33;1;2/45;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
43;simulé;absence;;34;1;2/5;LYON;Spécialité médicale : Néphrologie;;5;[026022];;
44;simulé;;;35;1;2/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
45;simulé;;;36;1;3/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
46;simulé;;;37;1;1/4;TOURS;Spécialité médicale : Gastro-entérologie et hépatologie;;4;[033016];;
